CustomerID,recency,frequency,monetary,last_purchase,country,R,F,M,RFM,segment
12347,2,7,4310.0,2011-12-07 15:52:00,Iceland,4,4,4,444,Champions
12348,75,4,1437.24,2011-09-25 13:13:00,Finland,2,3,3,233,At Risk (was valuable)
12349,19,1,1457.55,2011-11-21 09:51:00,Italy,3,1,3,313,Recent / New
12350,310,1,294.4,2011-02-02 16:01:00,Norway,1,1,1,111,Lapsed / Low
12352,36,7,1385.74,2011-11-03 14:37:00,Norway,3,4,3,343,Champions
12353,204,1,89.0,2011-05-19 17:47:00,Bahrain,1,1,1,111,Lapsed / Low
12354,232,1,1079.4,2011-04-21 13:11:00,Spain,1,1,3,113,Lapsed / Low
12355,214,1,459.4,2011-05-09 13:49:00,Bahrain,1,1,2,112,Lapsed / Low
12356,23,3,2487.43,2011-11-17 08:40:00,Portugal,3,3,4,334,Champions
12357,33,1,6207.67,2011-11-06 16:07:00,Switzerland,3,1,4,314,Recent / New
12358,2,2,928.0600000000001,2011-12-08 10:26:00,Austria,4,2,3,423,Loyal
12359,58,4,6372.58,2011-10-13 12:47:00,Cyprus,2,3,4,234,At Risk (was valuable)
12360,52,3,2302.06,2011-10-18 15:22:00,Austria,2,3,4,234,At Risk (was valuable)
12361,287,1,174.9,2011-02-25 13:51:00,Belgium,1,1,1,111,Lapsed / Low
12362,3,10,4737.23,2011-12-06 15:40:00,Belgium,4,4,4,444,Champions
12363,110,2,552.0,2011-08-22 10:18:00,Unspecified,2,2,2,222,Lapsed / Low
12364,8,4,1208.1,2011-12-02 10:22:00,Belgium,4,3,3,433,Champions
12365,291,1,320.69,2011-02-21 13:51:00,Cyprus,1,1,2,112,Lapsed / Low
12367,4,1,150.9,2011-12-05 16:48:00,Denmark,4,1,1,411,Recent / New
12370,51,4,3425.69,2011-10-19 14:51:00,Cyprus,3,3,4,334,Champions
12371,60,1,1527.96,2011-10-11 10:43:00,Switzerland,2,1,3,213,Lapsed / Low
12372,72,3,1196.04,2011-09-29 12:12:00,Denmark,2,3,3,233,At Risk (was valuable)
12373,311,1,324.6,2011-02-01 13:10:00,Austria,1,1,2,112,Lapsed / Low
12374,25,1,622.93,2011-11-14 15:37:00,Austria,3,1,2,312,Recent / New
12375,11,2,377.5,2011-11-29 10:36:00,Finland,4,2,2,422,Loyal
12377,315,2,1548.12,2011-01-28 15:45:00,Switzerland,1,2,3,123,Lapsed / Low
12378,130,1,4008.62,2011-08-02 10:34:00,Switzerland,2,1,4,214,Lapsed / Low
12379,82,2,777.24,2011-09-19 10:09:00,Belgium,2,2,3,223,Lapsed / Low
12380,22,4,2427.81,2011-11-18 11:27:00,Belgium,3,3,4,334,Champions
12381,5,3,1474.81,2011-12-05 12:44:00,Norway,4,3,3,433,Champions
12383,185,5,1628.56,2011-06-08 08:02:00,Belgium,1,4,3,143,At Risk (was valuable)
12384,29,2,425.27000000000004,2011-11-11 08:39:00,Switzerland,3,2,2,322,Loyal
12386,338,2,401.9,2011-01-06 12:37:00,Australia,1,2,2,122,Lapsed / Low
12388,16,6,2780.66,2011-11-24 12:30:00,Australia,4,4,4,444,Champions
12390,80,1,504.84000000000003,2011-09-21 09:33:00,Belgium,2,1,2,212,Lapsed / Low
12391,22,1,460.89,2011-11-18 12:07:00,Cyprus,3,1,2,312,Recent / New
12393,72,4,1582.6000000000001,2011-09-28 15:41:00,Australia,2,3,3,233,At Risk (was valuable)
12394,64,2,1080.48,2011-10-07 08:08:00,Belgium,2,2,3,223,Lapsed / Low
12395,19,11,2682.63,2011-11-20 15:21:00,Belgium,3,4,4,344,Champions
12397,36,2,2214.9,2011-11-04 09:52:00,Belgium,3,2,4,324,Loyal
12398,46,1,1435.66,2011-10-25 10:27:00,Switzerland,3,1,3,313,Recent / New
12399,119,4,1033.65,2011-08-12 13:15:00,Belgium,2,3,3,233,At Risk (was valuable)
12401,303,1,69.3,2011-02-09 13:50:00,Belgium,1,1,1,111,Lapsed / Low
12402,323,1,195.6,2011-01-20 13:49:00,Belgium,1,1,1,111,Lapsed / Low
12403,50,1,391.7,2011-10-21 10:51:00,Denmark,3,1,2,312,Recent / New
12405,149,1,1390.39,2011-07-14 08:52:00,Finland,1,1,3,113,Lapsed / Low
12406,22,2,3415.3,2011-11-17 19:22:00,Denmark,3,2,4,324,Loyal
12407,50,5,1507.1200000000001,2011-10-21 10:11:00,Belgium,3,4,3,343,Champions
12408,33,4,2618.55,2011-11-07 12:27:00,Belgium,3,3,4,334,Champions
12409,79,3,11072.67,2011-09-22 10:38:00,Switzerland,2,3,4,234,At Risk (was valuable)
12410,309,1,533.33,2011-02-04 10:39:00,Switzerland,1,1,2,112,Lapsed / Low
12412,75,3,1142.88,2011-09-26 10:16:00,Denmark,2,3,3,233,At Risk (was valuable)
12413,67,3,686.1,2011-10-04 09:00:00,France,2,3,3,233,At Risk (was valuable)
12414,217,3,442.41,2011-05-06 14:51:00,Austria,1,3,2,132,At Risk (was valuable)
12415,24,15,124564.53,2011-11-15 14:22:00,Australia,3,4,4,344,Champions
12417,3,9,3226.1,2011-12-06 14:52:00,Belgium,4,4,4,444,Champions
12418,113,1,668.58,2011-08-19 11:08:00,Switzerland,2,1,3,213,Lapsed / Low
12420,64,1,600.39,2011-10-07 08:55:00,Cyprus,2,1,2,212,Lapsed / Low
12421,16,4,639.04,2011-11-24 09:07:00,Spain,4,3,2,432,Loyal
12422,96,3,683.5600000000001,2011-09-05 09:48:00,Australia,2,3,3,233,At Risk (was valuable)
12423,1,8,1634.31,2011-12-09 10:10:00,Belgium,4,4,4,444,Champions
12424,163,1,1760.96,2011-06-30 12:06:00,Australia,1,1,4,114,Lapsed / Low
12425,78,1,777.2,2011-09-22 17:31:00,Portugal,2,1,3,213,Lapsed / Low
12426,195,1,510.73,2011-05-29 12:26:00,Germany,1,1,2,112,Lapsed / Low
12427,22,3,699.8,2011-11-18 08:56:00,Germany,3,3,3,333,Champions
12428,26,7,6405.26,2011-11-14 08:22:00,Finland,3,4,4,344,Champions
12429,9,4,3388.4,2011-11-30 17:22:00,Denmark,4,3,4,434,Champions
12430,43,1,216.4,2011-10-27 15:09:00,Norway,3,1,1,311,Recent / New
12431,36,14,6382.45,2011-11-04 11:55:00,Australia,3,4,4,344,Champions
12432,43,2,4359.32,2011-10-28 11:43:00,Norway,3,2,4,324,Loyal
12433,1,6,13375.87,2011-12-09 10:02:00,Norway,4,4,4,444,Champions
12434,85,2,806.14,2011-09-16 12:38:00,Australia,2,2,3,223,Lapsed / Low
12435,80,2,7829.89,2011-09-21 09:06:00,Denmark,2,2,4,224,Lapsed / Low
12436,100,1,429.01000000000005,2011-09-01 12:09:00,Norway,2,1,2,212,Lapsed / Low
12437,2,15,4447.41,2011-12-08 11:35:00,France,4,4,4,444,Champions
12438,14,2,2466.85,2011-11-25 13:28:00,Norway,4,2,4,424,Loyal
12441,367,1,155.55,2010-12-08 10:45:00,France,1,1,1,111,Lapsed / Low
12442,3,1,144.06,2011-12-06 14:22:00,Spain,4,1,1,411,Recent / New
12444,21,5,4085.46,2011-11-18 13:23:00,Norway,3,4,4,344,Champions
12445,22,1,77.4,2011-11-17 18:43:00,Spain,3,1,1,311,Recent / New
12446,58,1,1002.3100000000001,2011-10-13 12:50:00,RSA,2,1,3,213,Lapsed / Low
12447,243,1,431.49,2011-04-10 13:25:00,Belgium,1,1,2,112,Lapsed / Low
